seconds,message
4,110
5,00101
6,10100
7,01100
8,11101
9,00011
10,10010
11,0000101
12,1000100
13,0100100
14,1100101
15,0010100
16,1010101
17,0110101
18,1110100
19,0001100
20,1001101
21,0000011
22,1000010
23,0100010
24,1100011
25,0010010
26,1010011
27,0110011
28,1110010
29,0001010
30,1001011
31,0000110
32,1000111
33,0100111
34,1100110
35,0010111
36,1010110
37,0110110
38,1110111
39,0001111
40,1001110
41,000000101
42,100000100
43,010000100
44,110000101
45,001000100
46,101000101
47,011000101
48,111000100
49,000100100
50,100100101
51,000010100
52,100010101
53,010010101
54,110010100
55,001010101
56,101010100
57,011010100
58,111010101
59,000110101
